PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,
WS2M,2000,1.55,1.77,2.31,2.31,2.41,2.62,2.17,2.31,2.13,1.45,1.35,1.74,2.02,
WS2M,2001,1.91,2.17,1.89,2.01,2.53,3.21,3.55,2.14,1.7,1.53,1.2,1.16,2.09,
WS2M,2002,1.51,1.89,1.96,2.16,2.74,2.53,2.38,2.16,1.91,1.21,1.44,1.62,1.96,
WS2M,2003,1.84,1.85,2.06,2.13,2.5,2.62,2.11,2.42,2,1.8,1.14,1.27,1.98,
WS2M,2004,1.39,1.65,1.89,2.08,2.2,2.98,2.2,2.17,1.7,1.25,1.2,1.3,1.84,
WS2M,2005,1.59,1.84,1.79,2.1,2.3,2.6,2.58,2.08,2.2,1.41,1.39,1.34,1.93,
WS2M,2006,1.56,1.8,1.84,2.16,2.11,1.98,3.12,2.83,2,1.12,1.07,1.38,1.91,
WS2M,2007,1.52,1.91,2.23,2.02,2.35,2.96,2.67,2.16,1.92,1.28,1.18,1.41,1.97,
WS2M,2008,1.7,1.66,1.74,2.06,2.49,2.66,2.4,2.24,1.87,1.16,1.12,1.17,1.86,
WS2M,2009,1.55,1.89,2.06,2.5,2.42,2.12,2.54,2.09,1.98,1.55,1.19,1.17,1.92,
WS2M,2010,1.43,1.95,2.21,2.21,2.51,2.58,2.41,1.88,1.61,1.55,1.17,1.46,1.91,
WS2M,2011,1.7,1.74,2.09,1.86,2.04,3.15,2.2,2.09,2.05,1.16,1.2,1.16,1.87,
WS2M,2012,1.59,1.81,2.07,2.09,2.34,2.99,2.15,2.11,1.64,1.22,1.42,1.41,1.9,
WS2M,2013,1.6,1.87,2.02,1.99,2.7,2.84,2.29,1.91,1.52,1.93,1.23,1.27,1.93,
WS2M,2014,1.61,1.76,1.8,1.96,2.49,2.6,2.24,2.1,1.75,1.5,1.3,1.4,1.88,
WS2M,2015,1.66,1.63,2,1.96,2.31,2.48,2.48,2.34,1.56,1.06,0.98,1.34,1.82,
WS2M,2016,1.44,1.57,1.76,2.2,2.3,2.34,2.58,2.36,1.73,1.33,1.42,1.4,1.87,
WS2M,2017,1.55,1.7,2.28,2.24,2.16,2.26,2.66,2.12,1.29,1.26,1.16,1.2,1.83,
WS2M,2018,1.5,1.63,1.85,2.17,2.41,2.7,2.54,2.5,2.03,1.38,1.19,1.45,1.95,
WS2M,2019,1.5,1.78,1.97,2.09,2.34,2.41,2.59,2.16,2.25,1.38,1.25,1.34,1.92,
WS2M,2020,1.53,1.66,1.5,1.86,2.12,2.33,2.12,2.45,1.41,1.29,1.22,1.18,1.73,
WS2M,2021,1.33,1.36,1.61,1.69,2.52,2.31,2.57,2.12,2.12,1.32,1.17,1.48,1.8,
